영화평점,영화감상평
8,"닥터, 완다가 펼치는 대 환장 호러쑈 마블 아이디어는 미쳤음"
8,영화는 재미있었는데 일루미나티가 너무 허무하게 죽음(블랙볼트:머리가..)(리드리차드:몸이 박살남(?)(캡틴 카터:자기 방패에 죽음)(캡틴 마블:동상에 깔려 죽음)(프로페서x:완다한테 목이 꺽여서OO)(모르도):생존
10,음표가 왜 유치하다고 하는지 이해가 안가네.
3,드라마 연출에..이거 그냥 인셉션 아륜데...
10,정말이지 이렇게 띵작일 수 가없음.. 베네딕트 컴버배치는 항상 옳다..
8,스칼렛 위치: 대혼돈의 멀티버스
10,원래 영화의 러닝타임은 2시간 40분이였대요. 그런데 수위 조절과 여러 유출들로 인해 시간도 짧아지고 급전개가 생기고 호불호도 갈린 거 같네요. 닥스와 흑화 닥스의 전투신이 기대와 달리 별로였습니다. 또 닥스가 너무 약해졌고요. 빨리 삭제장면을 내놓아라!
7,1편을 나름 재밌게 봐서 마블 중에서 닥터가 최애라 기대 많이 했는데 기대 이하였어요.. 완다 버전이 따로 있다고 들었는데 그 내용을 못봐서 이해가 안 갔어요 닥터 위주인 내용인 줄 알고 봤네요 그리고 완다 나오는 장면이 너무 호러영화 같아요.. ㅠㅠ
10,음악 감독이 진짜 천재임
10,이정도가 재미없다하는사람들 믿지마세요 꿀잼임
10,정말 엄청나더라 결말에선 스티브의 이마에 눈이 생긴거 꼭 기생수 파트랑 거의 비슷하더라고요 역시 마법의 주문을 외우는 마블히어로의 마법사 영국인 베네딕트 컴버배치 화이팅입니다~!^^
10,공공장소에서 소리지르면 않된다는 교훈을 주는영화
10,"완다비전을 보고 본다면 더 이해가 잘되겠지만, 완다비전 요약만 봐도 내용을 이해하는데는 큰 무리가 없어요. 스파이더맨 노웨이홈을 뛰어넘는, 마블 팬들에 대한 큰 선물과 같은 영화입니다. 이 영화 하나만 놓고 봐도 영상미나 스토리의 완성도가 높다고 생각하고, MCU 내에서도 핵심적인 역할을 하게 될 영화입니다. 너무 재밌게봤어요."
7,그렇게까지 재밌지는 않지만 그냥 볼만함
10,샘 레이미 특유의 공포감성이 다른 마블 영화와의 차별성을 더한다.
10,호불호 엄청 갈릴듯 일단 본인은 극호보려면 마블 완다비젼 드라마 꼭 봐야함영화가 좀 뇌절이 있긴한데 재미는 확실함
6,막 그렇게 재미있진 않았지만 킬링타임용으로는 좋은 것 같아요.
10,인셉션 해리포터 좀비물 취향저격
6,굉장히 많은 인물을 죽인 것에 비해 감성터졌던 금쪽이맘…
10,역시 믿고 보는 닥터스트레인지 굳드
10,전 재밌게봤는데 평점이 왜 낮은지 모르겟네요 ㅠ
10,아무리 못해도 평점 8점 이상은 됩니다~평점이 너무 낮아서 일부터 10점 줬네요. 스파이더맨 만큼은 재밌었는데~
10,연출 굿! 잼씀!!!!~~~
1,"스토리, 설정, 개연성, 연출력 모든게 마치 매순간순간마다 멀티버스의 이동을 보는것만 같다. 정말 다른의미로 스펙타클한 이야기 전개과정이 아닌가 싶다. 마음같아서는 0점을 주고싶지만 1점이 최저점수라 어쩔수없이 1점을 줘야겠다"
10,무서운건 참아도 눈물은 못참아결론: 우리 세계 닥스가 짱이심
2,정말.. 음악 올드한거 뭐냐.. 최악이다.. 너무 옛날 영화 썼던 영상미…저런 배우들로 저런 영상을 만들다니;;이건 돈 겁나 부은 비급영화도 못된다
4,음 딱히 안보셔도 될 것 같습니다..
8,음 일본호러+좀비물이 된게 좀 아쉽지만 배우들연기력과 영상미는 좋았음. 완다비전 시리즈 보고싶게 만듦. 쿠키는....하.. 꼭 보셈
10,완전 재밌었다한번 더 봐야지 4d로!!!
4,아... 2년 동안 기다렸는데 이게 뭐냐 마법 사면 마법으로 싸워야지 뭔 육탄전을 하고 있냐 스토리는 뭔가 똥 싸다 만 것 같은 느낌임 차라리 왓 이프 닥스 스토리로 갔음 대박 나겄다
10,완다가 너무 불쌍함...
6,천진반 리얼은 소름이구나
8,"마블이 갈수록 진입장벽을 높여가고 다양한 개성의 감독들에게 마블의 향후계획을 책임질 권한을 쥐어줬다. 결과는 성공이라면 성공이고, 실패라면 실패라고 할수도있다.이터널스때도 느꼈지만, 뭔가 기존의 마블스럽다라는 표현을 쓰기가 어려워지고 있다는게 마냥 부정적인것만은 아님에도 다수의 사람들이 조금은 불만족스럽게 느끼고 있다.본인은 상당히 만족스러운 행보라고 느끼고 있지만 그런 의견들이 충분히 이해가 간다.마블은 현재 거대한 이벤트이후 변화의 시기이자 과도기에 접어들었고, 그 상황을 헤쳐나갈 방법을 좀더 개성있는 각자의 영화들로 꾸며나가 새로운 재미를 추구하고자 하는것 같다."
8,이런 복잡/화려한 영상과 스토리 전개 속에 완다와 스트레인지의 서사가 빛난다. 특히 완다(완다비전 관람은 거의 필수. 왓 이프는 선택). 올슨과 컴버베치의 연기가 대단하다. 짧지만 과거 슈퍼히어로 영화/드라마의 주역들이 디즈니에 흡수되어 등장했다. 리부트 포함 앞으로의 MCU는 무궁무진 그 자체.
5,솔직히 좀 불쾌했어요..다좋은데 굳이 동성애를 넣는 이유를 모르겠습니다..동성애 없이도 좋은 작품인데 말이죠…잔뜩 기대하고 보러 갔는데굉장히 실망스럽네요..
10,완다비전의 확장 영화버전
4,좀비닥스 분장은 뭔 할로윈 분장보다도 못했고 천진반 닥스는 오른쪽눈 복붙한거 너무 티남. 2시간 넘는 완다의 정신병 자가치료 및 자살 영화... 이걸 왜보러 갔는지 후회스럽다.
10,음표날리는거 댕좋았음 :)
8,기대 많이하면 실망할수도 있는데 적당히하면 적당히 재밌는 영화
3,돈 아깝진 않음ㅋㅋㅋ..
2,마블이 땅에 떨어졌구나.. 먼 내용인지도 모르겠고 왜 닥터스트레인지는 갈수록 약해지냐?
7,조오오오오온나 유치하네 마블 영화를 이따구로 만드냐.. 캡티마블을 응원할 줄이야
1,"선대 MCU가 쌓아올린 공든탑을 단 한 작품만으로 무너트릴 수 있다니.PC, 억지감성, 아침드라마급 스토리에 주요인물들 감정선 하나도 설득력 없고 이게 왜 aaa급 영화인지 그냥 실망스럽다."
4,노잼 노잼노잼 그냥 마블이라 봄 ㅇㅋ?
10,난 재밌었음. 노란색 미니카 타고 다니시는 아저씨 뭔가 있어 보였는데 한번에 죽어서 아쉬웠음
10,재밌었다 또 볼지는 잘 모르겠다
4,난 뭘본걸까 좀비? 공포? 하... 마블감성은 어디간거야
10,영화 이외 드라마나 이런거 하나도 안보고 봤는데도 어느정도 설명이나 유추할 부분이있어서 보는데 어려움없었음. 뭔가 진지하게 보면 별로일거같은데 부제목 처럼 대혼돈 그자체여서 난 너무 재밌게봄 ㅋㅋ 다회차 가능할정도로
10,스토리도 좋고 완다가 너무 멋있던 영화
10,완다 비전 꼭보고 가셈 ㄹㅇ 너무 재밌고 액션씬 개미쳤음
2,1. 마블특유의 재치와 유쾌함이 결여됨(웡이 있어서 그나마 다행)2. 주요 캐릭터 외의 히어로 소비가 너무 했음( 세계관자체가 스칼렛 위치의 힘이 넘사인건 알지만 가만해도 많이 아쉬웠음)3. 아니 먹튀하면서 돈내라는데 왜때림? 그걸 또 개그소재로? 4. 음표공격은 정말 옛날 유치하지만 재밌었던 아름다운 디즈니만화 생각남 근데 안어울림(관람연령 12세이상이라서 12세를 타겟으로 유치해진건가? 라고 생각해도 12세 꼬마가 봐도 유치할듯)5. 기대치가 너무 컸음
1,CG가 젤 나음..진짜 별로
10,개잼있음. 시리즈를봐야 재미있게 볼수있는 영화...시리즈안보면 아마 재미없었을듯.. 좀 이상한부분도 있지만. 상상력이 총동원되서.시간가는줄모르고 봐버렸다
10,정말 재밌게 봤음 생각보다 볼만하던데 왜 다들 억까하나 싶음 확실히 호불호가 갈리긴 하나봄
10,재밌게 잘 보고 왔습니다.
6,스칼렛 위치가 주인공 닥스는 유치해지고 약해짐
6,마블 팬이 아니라 샘 레이미 팬을 위한 영화.
2,이 평점은 12점을 주지 못해 남기는 2점이다.
10,너무 재밌어요!!! 제일 좋아하는 케릭터 2명이 주인공이라니.... 드라마 완다비전이랑 애니 what if를 보고 이 영화 보면 더더욱 재밌어요!! 눈물
10,기대를 낮추고 보면 재밌는뎅..
10,개꿀잼 완다비전은 꼭 보고가야함
5,새로운 시도는 좋은데 닥스가 너무 약하게 나오고 마블치고는 넘 자극적이에요
10,아 스트레인지 중간에 팔 잘리노 ㅠㅠ
8,아쉬움은 있어도 재미는 있네.
4,어우 너무 지루하다 대화도 많고
8,전작들을 보지 않으면 이해가 안되는 장면이 있긴 했지만 그래도 굉장히 재미있는 영화다 스토리는 쫌 난해하다
9,재밌게 봤네요. 그런데 마지막 쿠기영상은...
10,기대안하고봤는데 넘 재밌게봤어요
10,제목 그대로 매드니스!!!
10,볼만은한데 평점이 넘 낮아서 10점줍니다8.5정도되요
10,사람들이 공포영화라서 마블 같지 않다고들 많이 하지만 이 영화를 표현 할 때 장르를 공포로 선택한 것이 오히려 더 좋았다고 봄
6,좋은 이야기와 그렇지 못한 연출
2,외모가 젊어진베니가 반가웠지만장르를 알수없는 }정신없는 영화였다
10,재밌다 기대를 안해서 그런지 더 재밌다
2,유치하다.. 스토리도 억지로만든거같다..
10,역대 마블 시리즈 중 가장 재미있게 봤음.cg랑 영상미가 완벽했다!볼게 많은 영화라 나중에 한번 더 보려한다.
4,중요했던 과거의 일들을당장의 흥행수익을 위해 리스펙없이 싸그리 우습게 묘사해서 끝내버리는마블에 개실망항상 그래도 마블영화는 재밌게 봐왔고안빠지게 10년 넘게 봐왔는데이번 영화는 실망이었슴ㅜ피식하고 헛웃음 나올때 많았슴예를들어 굳이 그냥 공격해도 되는데굳이 악보의 음표를 빼내서 공격하고;;;;너무 유치함의 극치였슴이번 영화 매출만 생각해서과거의 영웅들과 스토리라인을하찮게 묘하한건 역대급실수
6,그냥 내용이 좀 유치하다
3,나에게 수면제를 두번이나 먹인 닥터
4,마블 영화랑 드라마까지 거의 다 챙겨본 사람으로써 이건 좀 아니네요.... 보고나서 평점 높게 줄려했는데 도저히 줄 수가 없네요. 마블에서 공포를 다룬건 높게 사지만 너무 유치한 느낌이 드네요. 내용은 다 이해가 가지만 몰입하기 쉽지 않았습니다. 솔직히 이터널스보다 재미없습니다..
5,내가 뭘보고있는거지?
5,공포영화인줄ㅜㅜ
6,배우들 최고..연출은 최악이고 스토리는 마블이 맞나싶을정도로 아쉬웠어요
9,강추입니다 정말 잘봤어요~
10,오 그래도 못볼 영화는 아닌데
10,영화 연출이 신선하고 좋았다 예고편보고
4,b급보다못한 중국영화수준
8,그럭저럭 재밌어요애들이 놀래서 울만하네요
10,주관적으로 마블영화중 최고로 재밌었고객관적으로 생각헤도 정말 잘만들어진 오락영화인데이걸 그냥 영화로 평가를 해야지 마블영화의 잣대를 가지고팬 입맛에 안맞다고 혹평을 하는 사람들이 많다는게 아쉬움
4,너무 유치해서 졸음이 ㅋㅋㅋ
10,몇부분은 실망한 부분이 있었으나 노 웨이홈만큼 재밌었다. 멀티버스를 여행하는 장면은 스크린엑스로 봐야함 필수
10,상상이 안 될 만큼 재미가 있네요
10,눈 앞에 펼쳐지던 멀티버스의 스케일은 그저 짜릿했다
10,그로스하고 기괴한거 좋아하는 나에겐 꿀쨈 ㅎ
10,진짜 또 보고싶네여 역시 마블영화ㅋㅋㅋ 인기 있는 이유가 다 있어여
2,이 영화의 장르 : 오컬트 공포
2,오마이갓.. 이런영화를 돈주고 봤다뉘.. ㅠㅜ
10,잼게 본 영화입니다 역시 믿고 보는 마블이죠?
10,난 개인적으로 재밌었음
10,4DX로 봤는데 재밌었어요!! 걍 최고네요...ㅠ
10,이번엔 완다가 닥스만큼 비중있어서 넘 좋았어요~!!!
10,완다비전 4번 돌려보고 디즈니플러스 구독해서 마블영화다본 입장에서 놓칠장면이 하나도없었다 감동적이였고 다시보고싶다
2,1. 로키에서 기껏 쌓아올린 멀티버스의 개념을 완전히 무너뜨림. 감독이 멀티버스 개념 자체를 이해 못하고 있음. 2.공포영화를 만들고 싶었다는데 개그영화를 만듬. 중요한 순간마다 나오는 공포영화 오마주 장면들은 실소를 금할 수가 없었음. 3. 깔끔하게 끝나던 마블 여타 시리즈와 달리 끝나고 나서 너무 신파 장면이 너무 김. 4. 두번째 쿠키 XX(내 10분 내놔라)
10,재밌음 특히 연출과 배우 연기는 정말 좋았습니다.스토리 전개과정도 빠르고 다이나믹해서 좋았습니다.
7,더 광대해진 샘레이미 멀티버스
10,나름 기대안하고 봤는데 재밌었습니다.
10,재밌다. 공포영화답게 잔인한게 많다.
9,확실히 연출이 호불호가 갈릴만 하겠지만 내 기준에서는 호였던 연출
10,닥스3 나오는 건가? 나는 넘 재밌게 봤음 한번 더 보고 싶다ㅠㅠ
10,아 진짜 강추요...잔말말고 예매하세요...네..
10,완다가 타락하게 된 과정을 보여줬다면 어느정도 완다를 이해하게 될텐데...완다 팬으로써 아쉽습니다..
6,완다비젼 다 보고가서 스토리 이해는 괜춘했는데 닥터스트레인지 1의 느낌이 싹 사라졌다…닥스팬입장에서는 너무 아쉬움…공포도 너무 클리셰라 뻔하달까 스토리 전개도 너무 빠른느낌전체적으로 새로등장한 옷이나 캐릭터 같은 것들 디자인이 너무 유치해요…완다 웡 닥스 연기말고는 다 아쉽다…
2,기대하지말고보세요 B급 공포영화가 더 재밌겠음
10,"역시 닥스는 닥스, 마법 씬 화려하고 좋았어요"
10,역시 재밌나네요~ 다음편도 빨리보고싶어요
10,도대체 일루미나티는 타노스를 어떻게 죽였냐?
1,진짜 개 망작이다디즈니 들어오더니 무슨 디즈니랑 엑스맨 짬뽕 만들어놨네ㅋㅋ개연성 서사 다 무시하고 기존 마블 방식하고도 연출 완전 다름이제 다시는 마블 영화 안봄ㅇㅇ
10,가나다라마바사아차파
10,2번째 쿠키영상 안보면 후회함 진짜 재미있음
10,아주 재미있었음 영상미가 그중 쵝오
1,고퀄리티 B급 서양 공포영화
7,아이언맨 떠난이후로 맛탱이가버린 마블 ㅜㅜ
10,악보 속 음표로에 마법을 걸어 공격하면서 음악이 연주되는 장면에서 정말 감탄했다...!
10,진짜 마블 좋아한다? 싶으면 다 좋아할 듯
8,삼스파보단 덜하지만 마블은 마블이긴 함
8,애매한 수위로 인한 애매해진 호러영화
4,"본다면 말리지는 않겠다만..뭔 백투더퓨처, 스타트랙느낌 영화를 본거같다.."
2,ㅋㅋ 졸려 보지마삼 애들도 동감함
8,"완다비전, 로키 유튜브라도 본 후에 관람할 것. 최근 마블 시리즈 중에선 중상은 되는거 같고, 볼거리는 많음. 어설프게 X맨 갖다붙이면 추후에 망작이 나올 수도 있겠단 생각이 듦"
6,별로 재미없는거같아요 스케일에 비해
10,쿠키2를위한 영화...기대한만큼최고! 기다림에대한 대가
4,히어로물이 아닌 공포스릴러물같은 영화가 됨.
5,"영화 연출이 '대혼돈', 플롯은 '더혼돈' 닥스 1편의 장점이 사라지고 B급 유사 공포영화 연출이 덕지덕지 붙은 '다크홀드 저주'가 걸린 2편."
10,재밌다. 근데 좀 히어로들도 행복하면 안되는건가? 타노스 이겼는데도 죄다 인생 불쌍함 ㅜ
10,감독 뭐하자는거냐? 영화를왜이렇게만드냐? 이런식이면 세계최고리미티드에디션최강로얄스페셜감독밖에안된다 ㅋㅋ
4,옆에서 자고 있는 친구와
6,이거 음표 공격만 아니면 괜찮음
7,미스터 판타스틱(존 크레신스키) 아주 찰떡이라 별 하나 더 줌.
10,마블 세계관이 한층 더 넓어진듯ㄷㄷ
4,마블영화가 아닌 B급 히어로 패러디 영화 느낌
10,닥터 스트레인지: 대혼돈의 멀티버스 진짜 꿀잼!!!!♥
10,꼭보세용 두번보세용 세번보세용 ㅎㅎ
10,내용도 최고 배우들도 최고 그래픽도 최고
6,웬 공포영화를 만들어놨는지 예전의 마블감성이 다 사라진듯
10,큰 거 왔다는 말 이럴 때 쓰는 거임.. 스케일 진짜 큼 ㅋㅋㅋ
8,롤 챔피언 3개가 나오는 영화전개가 조금 아쉽긴 했지만게임에서 본 느낌
10,올해 들어 최고의 영화인듯..
10,"기대 이상으로 재밌게 봤어요 영상미, 색감, 음악까지 굿!!"
10,넘넘 재밌었고 중간중간에 깜짝놀랐네요?????????????
10,아 이런게 웅장함이구나...
10,완전 영상미 화려하고 재밌었어요 닥스2는 진짜 역대급입니다
6,요약하자면 아이찿아 멀티버스 스케일좋고 멋있고 웅장함
10,좋음 악평하는거 ㄹㅇ이해가안감 ㅋㅋ
2,최악의 영화였다. 1시간 지날 쯤 빠르게 나와버렸다.
10,‘완다비전’ 꼭꼭!! 보고 봐야함
10,나름 재밌게 봣어요!!
6,CG에 많이 투자해서 그런지 볼 재미는 있었는데 연출이나 스토리가 B급 공포영화 수준기존 엔드게임의 웅장한 마블영화를 기대했다면 완전 실망할듯 중간에 싸울 때 죽음의 장송곡이 진짜 웃겼다
1,"오글 클리셰, 스토리 노잼, 아메리카 발연기.."
5,닥스에서만 볼수 있는 세계 쪼개지는 장면은 없고 마블버전 공포영화였음. 스토리 기본전제인 완다의 대의가 허접해서 몰입이 안됨. 혼자 자식있는데로 넘어가면 되지 왜 굳이 힘을 뺏으려드나 했는데 애들 나중에 아프면 다른세계 치료제 필요할까봐라니. 닥스는 이제까지 현명하고 의지되는 캐릭터였는데 닥스2에서 갑분 주변인에게 사고뭉치로 찍힌 캐릭터가 되있음.
1,너무 재미없어요두번째 쿠키 보지마삼
9,뭔가 무섭기도한데 그래도 마법보는 맛이있어서 좋았어요 완다비전 로키 다 봐서 그런가 이해도 잘 됏고요
2,음 솔직히 돈아까웠다 멀티버스의 시작이라 그런 것 같지만 음... 돈 많이쓴느낌이라 영상미는 넘치지만 스토리가 너무 아쉬워ㅜㅜ 마블 특유의 재치코드도 없고
4,마블이 이렇게 유치했었나? 심각한상황 거의 뽀로로 한편을 본듯한 유치함 그리고 지루함~갈수록 답없어지는 마블
10,짱짱 추천쓰 닥터스트레인지..이번에 멋있었음
2,영화 전체에 깔려있는 노골적인 pc때문에 좀 역겨움. 뭐든 적당한게 좋은거다.
8,진짜 대혼돈이지만 재밌긴 하다
6,"우선 완다비전을 안봤으면 갑자기 완다가 흑화..? 이럴수 있을듯. 가볍게 보기에는 약간 고어하고, cg 잘뽑아서 재밌게본듯"
10,9점대는 아니더라도 7점대일 정도는 아닌듯
7,웨딩드레스 맥아담스는 진리다
7,디즈니 플러스를 안봐서 완다가 왜 저렇게 빌런이 됐는지 모르겠다.. 물론 다른 마블영화를 보면 완다가 가족이나 연인을 지속적으로 잃은건 알지만 갑자기 완다한테 뭔일이 일어나서 흑화 된건지 완다에 대한 스토리를 몰라서 엥 갑자기? 이런 느낌이엇음..
10,너무 재미있었다!역시 마블!ㅠㅠ완다가 넘 가여워서 아가들 볼때 저두 같이 눈물이스트레인지도 크리스틴하구 잘 됬으면 좋았을텐데 아쉽구용 3편이 기대되요!
7,샘 레이미의 닥터 스트레인지
8,이건 판타지가 아니라 호러영환디요...? ㅠㅠ
4,하...마블에 이런 별점을 주게될줄이야심지어 가장 좋아하던 닥터 스트레인지..온갖 요소를 다 끌어와 조잡하다. 난잡하다.스토리가 산으로간다..일루미나티 라는 단어를 보자마자마자 깼다.내 인생 최악의 마블
3,마블영화 기대하고봤는데중국자본 들어가서 그런지 우리 정서랑은안 맞는거 같네요.요즘 나오는 마블 영화 다 비슷한 중국느낌으로 가는 것 같아서 별로입니다.재미없습니다. 올해본 영화중에 가장 별로였어요
3,루소형제 데려와...
4,다크한..게 아니라 공포물을 보는듯한 연출. 꼭 그렇게 귀신나오는 영화처럼 깜짝깜짝 놀라게 해야했을까? 난 13일의금요일이 아니라 어벤져스의 닥터스트레인지를 보고 싶었다고..그리고 이제 마블은 다른 마블영화 뿐만 아니라 디즈니+ 티비 드라마까지도 예습하고 오는것을 강요하고 있는 듯.
4,기존 마블 영화들과 많이 다르고 유치해요 피식피식….
10,재밌는데 평점이.왜이러지 마지막에 눈물 날 뻔!
10,대혼돈...그래도 마블...
10,완다 이미지가 강렬해서 좋았움
10,화려한 영상 재밌게 봤어요
1,"반지의제왕, 워킹데드 짬뽕"
2,이터널스급 기대보다는 실망이큰영화
2,액션이 전체적으로 빠른 템포가 아니라서 긴장감이 떨어짐.
10,마블이 보여주는 공포영화 느낌이 새롭다
2,진짜 최악의 마블영화 닥터스트레인지는 왜 너프에 너프인건지이해가 안되네요 인피니티워에서 보여주던 싸움정도는 나올거라 생각했는데닥터스트레인지는 갑자기 소환술사로 만들지를 않나 마법사 2명이서 주먹질을 하지않나결국 닥스 2명 붙어서 음표대결 참나 이딴걸 닥터스트레인지2??진짜 최악..믿고 보는 마블은 노웨이홈에서 금이가더니 닥스 2에서 부서져 버렸다.
2,지루해서 잤네요. 왜이러지 진짜
4,"블랙위도우가 최악인줄 알았는데, 마블영화 중 최악"
2,너무너무 아쉬웠던 영화:….. 중간에 공포물인줄 알고 무섭기도 하고 갑자기 음표 날라댕겨서 코믹인줄알고 너무 웃겼어요….
8,1이더 재밌었어요. 그래도 볼만함
4,멀티버스 좀 놓아주자
10,이번에 진짜 잘 만들었음..
10,12세 아닙니다...
1,실망 많이함마법 액션 기대 많이했는데 형편없음.내용도 별로에 인기캐릭터들은 너무 형편없이 죽이고 쓸데없이 여자캡틴이나 흑인마블 같은 인기 별로 없고 pc묻은 캐릭터들만 액션씬나옴
10,마지막 쿠키영상은 꼭 봐야함
8,영화 자체는 재밌었지만 너무 기대치가 높았어서 그런지 실망감이 들었네요 인워-엔겜-노웨이홈 까지 지나오면서 닥스는 만물을 꿰뚫는 강력한 해결사 같은 느낌이었는데..이전에 썼던 강한 마법들은 어디다 팔았는지 계속 도망만 다니는 닥스를 보니까 많이 아쉬웠습니다 인워 'vs타노스' 때처럼 졌지만 잘싸웠다는 그림 그려줬어도 괜찮았을텐데.. 영화 자체는 살인마가 주인공 일행을 쫒는 전형적인 스릴러 호러물에 닥터 스트레인지 스킨을 입힌 느낌이었습니다ㅋㅋ 이런 스릴러 영화 보면 꼭 도망다니던 주인공이 마을 보안관이나 경찰들을 발견하고 도움을 요청하면서 잠깐 안도 하는 씬이 있죠.. 결국 주인공의 도움 요청을 듣는둥 마는둥 하다가 갑툭튀 살인마에게 전멸 당하는 경찰들(일루미나티)까지..진짜 전형적인 스릴러 클리셰 였습니다ㅋㅋ
1,피씨 떡칠 영화 개연성 없음
10,저는 음표 날리는 거 신선했음!ㅋㅋㅋ재밌게 잘 봤어요!!
10,6년만에 닥스 솔로무비 나온 이유ㅋㅋㅋ마블이 비주얼 땜에 이갈고 만드느라 오래 걸린거였네ㅋㅋㅋㅋ
8,이영화는 무섭다 무서워
10,시간 가는 줄 모르고 재밌게 봤네여
10,솔직히 완다 개불쌍함ㅠ 완다 벌은 받지만 해피엔딩바랬는데
10,기대없이 봤지만 화려한 CG로 지루할 틈 없었고 생각보다 훨씬 재밌었어요~
10,완다비전부터 존버한 보람이 있다..ㅠㅠ
10,오늘부터 불꽃 카리스마는 완다로 하자..
10,명불허전 마블이죠. 올해 나온 영화들 중 최고의 영화가 될 것 같아요.
10,초반에는 역시 마블은 어벤저스 미만 잡 CG를 아끼는구나 했는데 초반문어CG만 좀 구리고 좋음 완다가 연기를 그렇게 잘 하는지 몰랐네 좀 찡했고 갠적으로 닥터스트레인지1보다 재밌었음
1,"닥터 스트레인지는 강하지 않다. 역시 찌질한 캐릭터인가... 맞아도 너무 맞고다니네...완다... 정신병이 말기환자 급... 결국 공포스럽게 다죽이고, 본인은 민폐끼치면서 스스로 자결ㅋㅋ"
10,영상 연출은 정말 멋짐요ㅋㅋ
8,"완다 비전을 보지 않고 간다면, 완다의 입장에서 왜 저렇게 까지 해야하지 라는 공감과 몰입도는 얻지 못할듯,, 세계관을 너무 많이 넓혀놧어요,, 충분히 재미잇고 영상미는 화려햇고, 닥터 스트레인지 만의 색깔과 재미가 잇엇네요... 그런데 쿠키에서 또 다른 세계관까지 나와버리니.. ㅎㅎ 도대체 케빈페이지의 도화지는 어디까지인지? 궁금합니다."
6,대환장 그 자체를 경험.
10,너무 재밌어요 다시 보고싶네요ㅋㅋㅋㅋ믿고 보는 마블 영화!
9,후기가 별로여서 기대 안하고 봤는데 진짜 재밌었음 완다비전 안보고 가서 조금 이해가 안되긴 했는데 큰 지장이 없었음 마지막 부분에 음표싸움 씬 ? 그거만 왜있는지 의문이고 그냥 웃겼고 그거 빼곤 스토리도 괜찮고 재미있었음 기대안하고 봤는데 싫망 안하고 재밌게 봤음
1,ㅋㅋㅋ기대이하 3류영화같음
10,핵꿀잼 또 보고싶은 영화에요
10,진짜 꿀잼인데? 마블 영화중 평타 이상 ㄹㅇ
10,이번 영화는 완다가 닥스만큼 비중있어서 넘 좋았음 마블 세계관 발라버리는 울 언니 멋짐 인정ㅎㅎㅎ
10,재밌습니다. 추천합니다~!
10,기대를 가지고 봤으나 기대치 이상
10,웅장하고 스펙터클한 화면에서 눈을 뗄 수 없다
10,최고에요 꼭 봐야하는 영화입니다!
10,별 기대 없이 갔는데 잼나게 보았어요ㅎ
10,바로 이거지!! 영화관에서 보는 비주얼 쩌는 영화의 맛!!
8,귀신들린 완다의 정신병 치료기
8,연출이 겁내 신선했음
10,재밌어요 꼭 보세요 추천합니다
10,이 비주얼을 영화관에서 안 보면 무조건 후회합니다ㅠㅠㅠ
2,하...실망스러웠어요
7,다크한 느낌은 좋은데 스토리 몰입도가 아쉽
10,영상미며 배우들 연기며 장난없음
4,부제가 내마음과 같다.진짜 대혼돈이였음....
10,cg 볼거리가 많아서 기억에 많이 남네요ㅎㅎ
8,광기 어린 모성. 새 인물 등장.
10,완전 재밌게 봤어요 다음 편도 완전 기대중이예용
10,스크린 뚫고 나오는 완다 카리스마 파워 개멋있다 진짜ㅋㅋㅋㅋ
10,"영상과 연출, 배우들의 연기력과 스토리 몰입력 모든 것이 완벽"
10,너무잼있게봤다이거보고 완다비젼 다봄
1,어이없는 전개 감성팔이
7,예전 마블이 아니다. 영상미만 남아있다
8,아니 다좋은데 동양풍 어떻게 할 수 없니…중간중간이 너무 짜친다…
10,오래 기다린 보람이 있습니다...ㄷㄷㄷ
4,감독 하나 잘못뽑아서 영화는 물론 닥터스트레인지 라는 캐릭터성도 말아먹었네요 멀티버스라는 좋은소재를 이런식으로 낭비한게 정말 안타깝습니다..
8,완다비전 요약 보고 갔는데 기대보단 아니었지만 스토리가 괜찮았어요. 공포.. 잘 모르겠던데.. 완다의 서사가 좋아요. 마블은 엔딩이 최고네요.
6,마블영화라 기대를 안할래야 안할수가 없긴한데..이건뭐... 앞으로의 마블영화는 엔드게임 이전으로 돌아갈수있을지가 의문. 딱 킬링타임용영화
10,마블 스케일 큰건 알았지만 닥스2는 진짜 역대급이다
10,3D효과 장난 아니네ㅋㅋ 기대 이상 상상이상ㅋㅋ
4,정말 영화가 대혼돈. 보고나오며 속이 안좋음. 아이들은 절대 같이 보면 안되는 공포영화...
10,보는 내내 입틀막하고 봤음..진짜 스케일 미쳤음..
10,완다가 아주 그냥 날아다님ㅋㅋㅋㅋ ㄹㅇ 스칼렛위치 대레전 ㅠㅠ
1,쓰레기는 쓰레기통에 있어야 되는데
10,미쳤다 MCU 완다가 짱먹어..
10,화려하고 잼ㅆㅓ요
9,저는 진짜 재미있게 봤습니다
10,오늘부터 스칼렛 위치 덕질 시작ㅋㅋ
10,마블팬이 아니어도 재밌게 보실 수 있을듯해요내용을 정말쉽게 풀어놓은듯하네요~~대박입니다~~^^
10,닥스도 멋있었는데 완다가 너무 인상깊었어요!
10,강추입니다. 아들과 즐거운 시간 보냈어요!
10,아이맥스로 봤는데 정말 끝내줬어요^^
1,그냥 비추를 박습니다2편은 졸작이 맞네요
10,재밋었어요! 3d로 보니 더 재밋었어요ㅋㅋㅋㅋ
